Basin,Operator,01/03/2022,01/12/2022,11/22/2021,12/14/2021,12/20/2021,12/27/2021,All
Bakken,SINCLAIR OIL & GAS COMPANY,,,1.0,,,,1
Bakken,"SLAWSON EXPLORATION COMPANY, INC.",1.0,1.0,1.0,1.0,1.0,1.0,6
Bakken,"SUMMIT CARBON SOLUTIONS, LLC.",1.0,1.0,,,1.0,1.0,4
Bakken,"TALLGRASS WATER NORTH DAKOTA, LLC",1.0,1.0,,1.0,1.0,1.0,5
Bakken,TRUE OIL LLC,,,1.0,1.0,1.0,,3
Bakken,WHITING OIL AND GAS CORPORATION,2.0,2.0,2.0,2.0,2.0,2.0,12
Bakken,"WPX ENERGY WILLISTON, LLC",1.0,1.0,,,,,2
Barnett,"B.O.L.D. OIL AND GAS, LLC",,1.0,1.0,,,,2
Barnett,"BEDROCK PRODUCTION, LLC",1.0,1.0,,,,1.0,3
Barnett,"BLUFF CREEK PETROLEUM, LLC",,,,,1.0,1.0,2
Barnett,"BROWNING OIL COMPANY, INC.",2.0,2.0,2.0,2.0,2.0,2.0,12
Barnett,"BUCK WHEAT RESOURCES, L.P.",,,,1.0,,,1
Barnett,"BURNETT OIL CO., INC.",,,1.0,,,,1
Barnett,"CANAN MOWREY OPERATING, LLC",,1.0,,,,,1
Barnett,"CLEAR FORK, INCORPORATED",1.0,1.0,1.0,,,1.0,4
Barnett,CORDA CORPORATION,,1.0,,,,,1
Barnett,D.J. & T. ENERGY,,,,1.0,,,1
Barnett,DELTA OIL & GAS LTD.,1.0,1.0,,1.0,1.0,1.0,5
Barnett,"DJ & T SERVICES, LLC",1.0,,,,1.0,1.0,3
Barnett,"DRY FORK PRODUCTION CO., LLC",,1.0,,,,,1
Barnett,"ECHO PRODUCTION, INC.",,,1.0,1.0,,,2
Barnett,"EXPRO ENGINEERING, INC.",,,1.0,,,,1
Barnett,FELDERHOFF PRODUCTION COMPANY,,1.0,,,,,1
Barnett,"GHA BARNETT, LLC",1.0,1.0,,1.0,1.0,1.0,5
Barnett,GUNN OIL COMPANY,,,,1.0,1.0,,2
Barnett,"HW OPERATING, LLC",,,,,1.0,1.0,2
Barnett,ICS ENERGY LLC,,,,1.0,,,1
Barnett,INTERSTATE EXPLORATIONS LLC,1.0,,,,1.0,1.0,3
Barnett,"MOMENTUM OPERATING CO., INC.",,,1.0,,,,1
Barnett,"MORIAH OPERATING,LLC",1.0,,,1.0,2.0,,4
Barnett,"MUIRFIELD EXPLORATION, LTD.",1.0,1.0,1.0,1.0,1.0,1.0,6
Barnett,"PEREGRINE PETROLEUM PRTNR, LTD.",2.0,2.0,1.0,1.0,1.0,1.0,8
Barnett,"RIFE ENERGY OPERATING, INC.",,1.0,,,,,1
Barnett,"ROSS, DWIGHT M. DRLG. CO., INC.",,,,1.0,1.0,,2
Barnett,"S.B. STREET OPERATING, INC.",1.0,1.0,,,1.0,1.0,4
Barnett,SAGE NATURAL RESOURCES LLC,,,1.0,1.0,1.0,1.0,4
Barnett,"SALIDA EXPLORATION, LLC",,,1.0,,,,1
Barnett,"SCHALK OIL COMPANY, INC.",1.0,,,,,1.0,2
Barnett,SOJOURNER DRILLING CORPORATION,1.0,,,,1.0,1.0,3
Barnett,"STASNEY WELL SERVICE, LLC",,1.0,,,,,1
Barnett,TACOR RESOURCES INC,,,,1.0,1.0,,2
Barnett,"TEP BARNETT USA, LLC",2.0,1.0,2.0,2.0,2.0,2.0,11
Barnett,"TEXCEL EXPLORATION, INC.",1.0,,,,,1.0,2
